Days,RA,AF,AW,AR,LF,LW,LR,CF,CW,CR,RH1,RH2,D,CL,CS,GPP
177,,,,,,,,,,,,,,,,2.539747021
178,,,,,,,,,,,,,,,,2.536273815
179,,,,,,,,,,,,,,,,2.588521386
180,,,,,,,,,,,,,,,,2.623968554
181,,,,,,,,,,,,,,,,2.577962916
182,,,,,,,,,,,,,,,,2.785719701
183,,,,,,,,,,,,,,,,2.594845941
184,,,,,,,,,,,,,,,,2.423969373
185,,,,,,,,,,,,,,,,1.917943846
186,,,,,,,,,,,,,,,,1.82409675
187,,,,,,,,,,,,,,,,1.951753176
188,,,,,,,,,,,,,,,,2.377105344
189,,,,,,,,,,,,,,,,2.266996333
190,,,,,,,,,,,,,,,,2.684882559
191,,,,,,,,,,,,,,,,2.832078118
192,,,,,,,,,,,,,,,,2.586582876
193,,,,,,,,,,,,,,,,2.355771584
194,,,,,,,,,,,,,,,,2.603759412
195,,,,,,,,,,,,,,,,2.816084288
196,,,,,,,,,,,,,,,,2.521708797
197,,,,,,,,,,,,,,,,2.160895122
198,,,,,,,,,,,,,,,,2.288168157
199,,,,,,,,,,,,,,,,1.978380831
200,,,,,,,,,,,,,,,,2.577902849
201,,,,,,,,,,,,,0.000344297,,,2.443159707
202,,,,,,0.030506079,,,,,,,,,,2.324524135
203,,,,,,,,,,,,,,,,2.422830908
204,,,,,,,,,,,,,,,,2.585709982
205,,,,,,,,,,,,,,,,2.252884329
206,,,,,,,,,,,,,,,,2.301273619
207,,,,,,,,,,,,,,,,2.641482125
208,,,,,,,,,,,,,,,,2.526117606
209,,,,,,,,,,,,,,,,2.344318387
210,,,,,,,,,,,,,,,,2.225194256
211,,,,,,,,,,,,,,,,1.993906051
212,,,,,,,,,,,,,,,,2.214227483
213,,,,,,,,,,,,,,,,2.49053386
214,,,,,,,,,,,,,,,,2.084937536
215,,,,,,,,,,,,,,,,2.072691619
216,,,,,,,,,,,,,,,,2.211090827
217,,,,,,,,,,,,,,,,2.267166809
218,,,,,,,,,,,,,,,,2.07959564
219,,,,,,,,,,,,,,,,2.29099745
220,,,,,,,,,,,,,,,,2.044024088
221,,,,,,,,,,,,,,,,2.033741326
222,,,,,,,,,,,,,,,,2.310023827
223,,,0.274188254,,,,,,,,,,,,,2.049314894
224,,,,,,,,,,,,,,,,1.955663231
225,,,,,,,,,,,,,,,,2.028746358
226,,,,,,,,,,,,,,,,2.15977705
227,,,,,,,,,813.3957682,127.0481721,,,,,,1.820364246
228,,,,,,,,,,,,,,5.870909506,,1.882077651
229,,,,,,,,,,,,,,,,1.605248541
230,,,,,,,,,,,,,,,,1.827174734
231,,,,,,,,,,,,,,,,1.812301122
232,,,,,,,,,,,,,,,,1.937224036
233,,,,,,,,,,,,,,,,1.629324346
234,,,,,,,,,,,,,,,,1.640633756
235,,,,,,,,,,,,,,,,1.570992567
236,,,,,,,0.374758747,,,,,,,,,1.67989938
237,,,,,,,,,,,,,,,,1.81719996
238,,,,,,,,,,,,,,,,1.700440753
239,,,,,,,,,,,,,,,,1.797508078
240,,,,,,,,,,,,,,,,1.578849915
241,,,,,,,,,,,,,,,,1.501921666
242,,,,,,,,,,,,,,,,1.523948513
243,,,,,,,,,,,,,,,,1.550643402
244,,,,,,,,,,,,,,,,1.694222559
245,,,,,,,,,,,,,,,,1.469583319
246,,,,,,,,,,,,,,,,1.491666165
247,,,,,,,,,,,,,,,,1.323316409
248,,,,,,,,,,,,,,,,1.347494395
249,,,,,,,,,,,,,,,,1.620225946
250,,,,,,,,,,,,,,,,1.391996538
251,,,,,,,,,,,,,,,,1.534323791
252,,,,,,,,,,,,,,,,1.543649818
253,,,,,,,,,,,,,,,,1.505891679
254,,,,,,,,,,,,,,,,1.545853855
255,,,,,,,,,,,,,,,,1.448939214
256,,,,,,,,,,,,,,,,1.39086431
257,,,,,,,,,,,,,,,,1.288513916
258,,,,,,,,,,,,,,,,1.351380568
259,,,,,,,,,,,,,,,,1.495728304
260,,,,,,,,,,,,,,,,1.370643169
261,,,,,,,,,,,,,,,,1.427990282
262,,,,,,,,74.16675332,,,,,,,,1.439553043
263,,,,,,,,,,,,,,,,1.470415589
264,,,,,,,,,,,,,,,,1.423910336
265,,,,,,,,,,,,,,,,1.221349626
266,,,,,,,,,,,,,,,,1.246205638
267,,,,,,,,,,,,,,,,1.200207749
268,,,,,,,,,,,,,,,,1.295875007
269,0.625163378,,,,,,,,,,,,,,,1.317971159
270,,,,,,,,,,,,,,,,1.244548511
271,,,,,,,,,,,,,,,,1.263445154
272,,,,,,,,,,,,,,,,1.344676116
273,,,,,,,,,,,,,,,,0.915527457
274,,,,,,,,,,,,,,,,1.422369974
275,,,,,,,,,,,,,6.91E-05,,,1.35639531
276,,,,,,,,,,,,,,,,1.264582544
277,,,,,,,,,,,,,,,,1.227301152
278,,,,,,,,,,,,,,,,1.224866201
279,,,,,,,,,,,,,,,,1.226442679
280,,,,,,,,,,,,,,,,1.163208567
281,,,,,,,,,,,,,,,,1.144326703
282,,,,,,,,,,,,,,,,1.111046823
